method	evidence_type	auc_roc	auc_pr	n	n_pos	coverage
NearestGene	All	0.7248928377116856	0.09996101176877456	132503	5359	1.0
Within100kb	All	0.5943291058038616	0.05390565458259394	132503	5359	1.0
cS2G	All	0.500505100280885	0.04124759592647476	126991	5233	0.9584009418654672
NearestGene	CRISPRi	0.9283481348562304	0.5672574592148846	9487	624	1.0
Within100kb	CRISPRi	0.8026274059255273	0.1903553207679336	9487	624	1.0
cS2G	CRISPRi	0.5005753739930955	0.06922435362802336	8402	581	0.8856329714345947
NearestGene	MPRA	0.6974910962080197	0.07784703920258337	123016	4735	1.0
Within100kb	MPRA	0.5670892200965383	0.04645105075995095	123016	4735	1.0
cS2G	MPRA	0.5005002764685748	0.03926566786241823	118589	4652	0.9640128113416141
